"Au sample deposited by Zr for 20 min   "
TotalNumOfRegions=4
Region=1
"O 1s"
Npoints=241
     188.566     10594.700
     188.541     10365.300
     188.516     10366.700
     188.491     10417.300
     188.466     10414.000
     188.441     10530.000
     188.416     10498.000
     188.391     10446.700
     188.366     10362.700
     188.341     10438.700
     188.316     10478.700
     188.291     10559.300
     188.266     10725.300
     188.241     10568.700
     188.216     10454.700
     188.191     10530.700
     188.166     10444.000
     188.141     10536.700
     188.116     10548.700
     188.091     10633.300
     188.066     10458.700
     188.041     10572.700
     188.016     10396.700
     187.991     10498.000
     187.966     10592.000
     187.941     10656.000
     187.916     10555.300
     187.891     10580.700
     187.866     10591.300
     187.841     10482.700
     187.816     10556.000
     187.791     10743.300
     187.766     10650.000
     187.741     10734.700
     187.716     10661.300
     187.691     10880.000
     187.666     10918.700
     187.641     10888.000
     187.616     10773.300
     187.591     10823.300
     187.566     10730.700
     187.541     10837.300
     187.516     10838.000
     187.491     10941.300
     187.466     10692.700
     187.441     10864.000
     187.416     10812.700
     187.391     10970.000
     187.366     10854.000
     187.341     10769.300
     187.316     10942.000
     187.291     11014.700
     187.266     10844.700
     187.241     10996.000
     187.216     11091.300
     187.191     11058.000
     187.166     11046.000
     187.141     10914.000
     187.116     11158.000
     187.091     11305.300
     187.066     11112.700
     187.041     11168.700
     187.016     11225.300
     186.991     11178.000
     186.966     11242.700
     186.941     11242.000
     186.916     11340.700
     186.891     11422.700
     186.866     11268.700
     186.841     11483.300
     186.816     11351.300
     186.791     11382.700
     186.766     11424.700
     186.741     11533.300
     186.716     11710.700
     186.691     11648.700
     186.666     11592.700
     186.641     11756.700
     186.616     11736.700
     186.591     11881.300
     186.566     11900.700
     186.541     11794.000
     186.516     11993.300
     186.491     12040.700
     186.466     11924.000
     186.441     11912.700
     186.416     11835.300
     186.391     11990.700
     186.366     12020.000
     186.341     12134.700
     186.316     12310.000
     186.291     12560.000
     186.266     12311.300
     186.241     12399.300
     186.216     12448.700
     186.191     12676.700
     186.166     12639.300
     186.141     12848.700
     186.116     12803.300
     186.091     12881.300
     186.066     12785.300
     186.041     12902.000
     186.016     12958.000
     185.991     13111.300
     185.966     13174.700
     185.941     13400.700
     185.916     13352.700
     185.891     13353.300
     185.866     13509.300
     185.841     13716.700
     185.816     13799.300
     185.791     13834.700
     185.766     14184.700
     185.741     13872.000
     185.716     14052.700
     185.691     14048.000
     185.666     14358.000
     185.641     14272.700
     185.616     14428.000
     185.591     14423.300
     185.566     14454.000
     185.541     14291.300
     185.516     14479.300
     185.491     14671.300
     185.466     14708.700
     185.441     14762.000
     185.416     14690.000
     185.391     14924.000
     185.366     14950.000
     185.341     14898.700
     185.316     14952.700
     185.291     14808.700
     185.266     14898.000
     185.241     14984.700
     185.216     15044.000
     185.191     15038.700
     185.166     15045.300
     185.141     15005.300
     185.116     15012.000
     185.091     15109.300
     185.066     15082.700
     185.041     15104.700
     185.016     15101.300
     184.991     15014.000
     184.966     15064.700
     184.941     14950.000
     184.916     15081.300
     184.891     14990.700
     184.866     15065.300
     184.841     15042.700
     184.816     14886.700
     184.791     15027.300
     184.766     14904.000
     184.741     15013.300
     184.716     14977.300
     184.691     15072.000
     184.666     14806.700
     184.641     14918.700
     184.616     14862.000
     184.591     14862.000
     184.566     14972.000
     184.541     15031.300
     184.516     15083.300
     184.491     14819.300
     184.466     14986.700
     184.441     14875.300
     184.416     14677.300
     184.391     14986.000
     184.366     15050.000
     184.341     15042.700
     184.316     14822.700
     184.291     14952.000
     184.266     14964.000
     184.241     14975.300
     184.216     14960.700
     184.191     15145.300
     184.166     14994.700
     184.141     15176.700
     184.116     15222.700
     184.091     15160.700
     184.066     15099.300
     184.041     15461.300
     184.016     15361.300
     183.991     15450.700
     183.966     15671.300
     183.941     15628.700
     183.916     15624.000
     183.891     15614.000
     183.866     15735.300
     183.841     16060.000
     183.816     16094.000
     183.791     16118.700
     183.766     16082.000
     183.741     16241.300
     183.716     16280.700
     183.691     16239.300
     183.666     16598.700
     183.641     16706.000
     183.616     16540.700
     183.591     16742.000
     183.566     16816.000
     183.541     17071.300
     183.516     16904.700
     183.491     17133.300
     183.466     17126.700
     183.441     17334.000
     183.416     17515.300
     183.391     17559.300
     183.366     17426.700
     183.341     17843.300
     183.316     17520.000
     183.291     17866.000
     183.266     18009.300
     183.241     18084.700
     183.216     18124.000
     183.191     18078.700
     183.166     18082.700
     183.141     18305.300
     183.116     18407.300
     183.091     18598.700
     183.066     18467.300
     183.041     18579.300
     183.016     18466.700
     182.991     18546.700
     182.966     18580.000
     182.941     18562.000
     182.916     18502.700
     182.891     18621.300
     182.866     18542.000
     182.841     18866.700
     182.816     18681.300
     182.791     18814.700
     182.766     18613.300
     182.741     18534.000
     182.716     18746.000
     182.691     18860.700
     182.666     18413.300
     182.641     18480.000
     182.616     18473.300
     182.591     18514.000
     182.566     18490.700
     182.541     18404.700
     182.516     18338.700
     182.491     18139.300
     182.466     18244.700
     182.441     18122.700
     182.416     18020.000
