B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 405.62             7262.82             7252.459            7020.273            7045.852            7057.38             7056.311            7153.737            10.36035 
 405.57             7416.06             7283.79             7019.767            7045.727            7057.516            7056.603            7183.244            132.2705 
 405.52             7594.35             7320.803            7018.939            7045.29             7057.348            7056.601            7218.381            273.5474 
 405.47             7534.98             7363.87             7017.737            7044.486            7056.822            7056.252            7259.519            171.1104 
 405.42             7692.38             7413.786            7016.656            7043.814            7056.436            7056.054            7307.45             278.5938 
 405.37             7850.61             7470.156            7015.245            7042.821            7055.738            7055.557            7361.775            380.4541 
 405.32             7698.23             7532.6              7013.5              7041.503            7054.726            7054.756            7422.114            165.6304 
 405.27             7659.06             7601.166            7012.07             7040.511            7054.048            7054.305            7488.511            57.89404 
 405.22             7600.28             7674.439            7010.719            7039.607            7053.47             7053.966            7559.552           -74.15918 
 405.17             7760.83             7750.979            7009.487            7038.834            7053.033            7053.785            7633.789            9.851563 
 405.12             7905.82             7828.418            7007.918            7037.735            7052.28             7053.304            7708.854            77.40137 
 405.07             7808.61             7904.332            7006.042            7036.34             7051.245            7052.556            7782.319           -95.72217 
 405.02             8002.24             7976.596            7004.366            7035.156            7050.432            7052.051            7852.056            25.64404 
 404.97             8054.44             8041.528            7002.282            7033.577            7049.237            7051.181            7914.38             12.91162 
 404.92             8066.92             8096.367            7000.084            7031.896            7047.953            7050.245            7966.527           -29.44727 
 404.87             7858.18             8138.241            6997.856            7030.198            7046.667            7049.327            8005.619           -280.061 
 404.82             8413.93             8165.029            6996.06             7028.944            7045.838            7048.892            8029.534            248.9004 
 404.77             8185.44             8173.464            6993.098            7026.539            7043.875            7047.346            8034.997            11.97559 
 404.72             8013.18             8164.59             6990.607            7024.62             7042.413            7046.329            8023.051           -151.4097 
 404.67             7953.83             8138.959            6988.472            7023.069            7041.336            7045.725            7994.244           -185.1289 
 404.62             7701.77             8098.081            6986.455            7021.654            7040.412            7045.306            7950.075           -396.311 
 404.57             7964.84             8044.98             6984.961            7020.776            7040.043            7045.474            7893.569           -80.14014 
 404.52             8243.04             7981.523            6982.914            7019.363            7039.158            7045.162            7826.583            261.5166 
 404.47             8356.21             7910.865            6980.282            7017.381            7037.724            7044.337            7752.27             445.3447 
 404.42             8157.76             7836.298            6977.408            7015.174            7036.086            7043.351            7673.912            321.4619 
 404.37             7953.13             7761.136            6974.943            7013.394            7034.898            7042.856            7594.816            191.9937 
 404.32             8068.91             7687.834            6972.9              7012.055            7034.173            7042.872            7517.434            381.0757 
 404.27             7847.49             7617.581            6970.61             7010.489            7033.247            7042.737            7442.939            229.9097 
 404.22             7699.41             7552.672            6968.779            7009.401            7032.822            7043.157            7373.628            146.7378 
 404.17             7503.86             7493.994            6967.253            7008.64             7032.751            7043.989            7310.373            9.865723 
 404.12             7428.26             7442.286            6966.132            7008.306            7033.136            7045.341            7253.9             -14.02588 
 404.07             7619.76             7397.654            6965.167            7008.149            7033.727            7046.966            7204.313            222.1055 
 404.02             7569.26             7359.469            6963.8              7007.614            7033.972            7048.32             7160.962            209.7905 
 403.97             7269.87             7328.003            6962.535            7007.206            7034.375            7049.912            7124.115           -58.1333 
 403.92             7363.42             7303.288            6961.894            7007.446            7035.461            7052.275            7093.787            60.13184 
 403.87             7204.73             7283.91             6961.055            7007.516            7036.414            7054.603            7068.542           -79.17969 
 403.82             7047.36             7269.769            6960.546            7007.941            7037.76             7057.431            7048.274           -222.4092 
 403.77             6865.68             7260.188            6960.365            7008.725            7039.504            7060.777            7032.276           -394.5083 
 403.72             6915.86             7254.598            6960.563            7009.915            7041.699            7064.708            7019.964           -338.7378 
 403.67             6677.37             7251.931            6960.656            7011.032            7043.864            7068.762            7010.24            -574.5605 
 403.62             6656.03             7252.288            6961.248            7012.68             7046.608            7073.574            7003.169           -596.2583 
 403.57             6668.05             7254.799            6961.885            7014.407            7049.481            7078.718            6997.849           -586.7495 
 403.52             6471.18             7259.057            6962.499            7016.145            7052.419            7084.171            6993.818           -787.8765 
 403.47             6521.82             7265.242            6963.525            7018.331            7055.861            7090.416            6991.21            -743.4224 
 403.42             6417.35             7272.666            6964.448            7020.451            7059.297            7097.002            6989.259           -855.3159 
 403.37             6148.39             7281.557            6965.591            7022.832            7063.058            7104.341            6988.098           -1133.167 
 403.32             6145.38             7292.212            6967.298            7025.817            7067.489            7112.872            6987.928           -1146.833 
 403.27             6045.32             7304.122            6969.014            7028.856            7072.045            7122.18             6988.083           -1258.802 
 403.22             5903.14             7317.57             6970.943            7032.151            7076.934            7132.623            6988.691           -1414.43 
 403.17             6073.78             7332.809            6973.174            7035.795            7082.251            7144.502            6989.781           -1259.029 
 403.12             6373.47             7349.42             6975.052            7039.137            7087.354            7157.429            6990.657           -975.9502 
 403.07             6119.49             7367.418            6976.309            7041.908            7091.976            7171.44             6991.021           -1247.928 
 403.02             5861.35             7388.361            6978.099            7045.267            7097.284            7188.1              6992.006           -1527.011 
 402.97             5980.31             7412.71             6980.431            7049.223            7103.293            7207.879            6993.606           -1432.4 
 402.92             6155.97             7440.274            6982.52             7052.996            7109.231            7230.582            6995.024           -1284.304 
 402.87             6063.75             7471.648            6984.246            7056.469            7114.99             7256.795            6996.132           -1407.898 
 402.82             5867.37             7508.186            6986.169            7060.203            7121.138            7287.869            6997.483           -1640.815 
