B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 315.42             3133.96             3123.517            3118.39             3119.004            3122.489            3118.804            10.44312 
 315.37             3303.12             3124.344            3119.198            3119.814            3123.312            3119.614            178.7764 
 315.32             3318.34             3125.47             3120.305            3120.924            3124.435            3120.723            192.8696 
 315.27             3365.61             3126.636            3121.452            3122.072            3125.596            3121.871            238.9744 
 315.22             3539.98             3127.897            3122.693            3123.316            3126.853            3123.114            412.083 
 315.17             3417.22             3129.474            3124.251            3124.875            3128.427            3124.674            287.7461 
 315.12             3357.74             3130.862            3125.619            3126.246            3129.81             3126.044            226.8784 
 315.07             3200.51             3132.164            3126.901            3127.53             3131.108            3127.328            68.34644 
 315.02             3170.11             3133.21             3127.927            3128.558            3132.15             3128.356            36.90039 
 314.97             3090.35             3134.213            3128.911            3129.543            3133.149            3129.341           -43.86255 
 314.92             3253.08             3135.087            3129.764            3130.399            3134.019            3130.197            117.9934 
 314.87             3231.89             3136.248            3130.905            3131.542            3135.176            3131.34             95.64233 
 314.82             3213.59             3137.383            3132.021            3132.66             3136.307            3132.457            76.20679 
 314.77             3272.63             3138.499            3133.116            3133.757            3137.419            3133.554            134.1311 
 314.72             3332.28             3139.727            3134.323            3134.966            3138.642            3134.764            192.5535 
 314.67             3072.05             3141.07             3135.646            3136.291            3139.981            3136.088           -69.01978 
 314.62             3253.57             3141.978            3136.533            3137.181            3140.885            3136.978            111.5918 
 314.57             3437.69             3143.206            3137.74             3138.39             3142.109            3138.187            294.4841 
 314.52             3405.4              3144.764            3139.277            3139.929            3143.662            3139.726            260.636 
 314.47             3365.33             3146.285            3140.777            3141.432            3145.179            3141.229            219.0447 
 314.42             3293.2              3147.755            3142.226            3142.883            3146.645            3142.679            145.4448 
 314.37             3194.29             3149.117            3143.566            3144.226            3148.002            3144.022            45.17285 
 314.32             3240.19             3150.322            3144.75             3145.411            3149.203            3145.208            89.86792 
 314.27             3167.35             3151.617            3146.023            3146.686            3150.493            3146.483            15.7334 
 314.22             3247.2              3152.797            3147.182            3147.847            3151.669            3147.644            94.40259 
 314.17             3111.91             3154.126            3148.488            3149.156            3152.993            3148.952           -42.21582 
 314.12             3170.94             3155.232            3149.573            3150.243            3154.095            3150.039            15.70776 
 314.07             3249.7              3156.449            3150.767            3151.44             3155.307            3151.236            93.25122 
 314.02             3364.29             3157.811            3152.107            3152.782            3156.665            3152.578            206.4795 
 313.97             3320.93             3159.384            3153.657            3154.335            3158.233            3154.131            161.5461 
 313.92             3377.65             3160.898            3155.149            3155.829            3159.743            3155.625            216.7517 
 313.87             3406.01             3162.527            3156.755            3157.438            3161.367            3157.233            243.4829 
 313.82             3251.05             3164.222            3158.428            3159.112            3163.057            3158.908            86.82788 
 313.77             3383.62             3165.669            3159.851            3160.538            3164.499            3160.334            217.9514 
 313.72             3291.85             3167.357            3161.517            3162.206            3166.183            3162.001            124.4932 
 313.67             3380.36             3168.905            3163.042            3163.733            3167.726            3163.529            211.4548 
 313.62             3236                3170.621            3164.734            3165.428            3169.438            3165.224            65.37866 
 313.57             3343.11             3172.106            3166.196            3166.892            3170.917            3166.688            171.0039 
 313.52             3318.85             3173.789            3167.855            3168.554            3172.596            3168.35             145.0608 
 313.47             3110.26             3175.447            3169.489            3170.19             3174.249            3169.986           -65.18701 
 313.42             3144.89             3176.761            3170.779            3171.483            3175.557            3171.278           -31.87085 
 313.37             3233.83             3178.143            3172.136            3172.843            3176.934            3172.638            55.6875 
 313.32             3319.56             3179.688            3173.658            3174.367            3178.475            3174.162            139.8721 
 313.27             3337.15             3181.395            3175.34             3176.052            3180.177            3175.847            155.7549 
 313.22             3220.57             3183.149            3177.069            3177.783            3181.925            3177.579            37.42139 
 313.17             3339.1              3184.718            3178.614            3179.331            3183.49             3179.126            154.3821 
 313.12             3222.71             3186.505            3180.376            3181.095            3185.271            3180.891            36.20508 
 313.07             3278.87             3188.109            3181.955            3182.677            3186.87             3182.472            90.76147 
 313.02             3226.67             3189.822            3183.644            3184.368            3188.578            3184.163            36.84766 
 312.97             3112.11             3191.461            3185.257            3185.984            3190.211            3185.779           -79.35059 
 312.92             3246.75             3192.915            3186.685            3187.415            3191.66             3187.21             53.83521 
 312.87             3226.14             3194.611            3188.356            3189.088            3193.351            3188.884            31.52905 
 312.82             3162.52             3196.285            3190.005            3190.739            3195.02             3190.535           -33.76538 
 312.77             3170.55             3197.864            3191.557            3192.294            3196.593            3192.09            -27.31348 
 312.72             3037.7              3199.467            3193.134            3193.874            3198.191            3193.67            -161.7668 
 312.67             3167.86             3200.853            3194.493            3195.236            3199.571            3195.032           -32.99243 
 312.62             3249.71             3202.469            3196.084            3196.83             3201.183            3196.626            47.24048 
 312.57             2976.4              3204.24             3197.828            3198.576            3202.947            3198.372           -227.8398 
 312.52             3025.33             3205.552            3199.113            3199.864            3204.254            3199.66            -180.2219 
 312.47             3166.67             3206.954            3200.488            3201.242            3205.65             3201.038           -40.28394 
 312.42             3340.34             3208.606            3202.113            3202.87             3207.297            3202.666            131.7339 
 312.37             3193.97             3210.57             3204.05             3204.809            3209.255            3204.606           -16.6001 
 312.32             3121.48             3212.3              3205.752            3206.514            3210.979            3206.311           -90.81958 
