B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              difference
 533.32             10742.1             10631.55            8604.672            10631.55            110.5508 
 533.27             10708.5             10737.91            8604.332            10737.91           -29.41406 
 533.22             10745.3             10845.15            8603.998            10845.15           -99.84863 
 533.17             10922.5             10952.46            8603.658            10952.46           -29.95605 
 533.12             10641.3             11059.39            8603.29             11059.39           -418.0869 
 533.07             11152.7             11165.42            8602.966            11165.42           -12.71973 
 533.02             11552.2             11269.8             8602.561            11269.8             282.3975 
 532.97             11423.4             11372.02            8602.092            11372.02            51.38086 
 532.92             11251.5             11471.22            8601.645            11471.22           -219.7168 
 532.87             11235.2             11566.82            8601.223            11566.82           -331.6221 
 532.82             11454.6             11658.09            8600.805            11658.09           -203.4912 
 532.77             11276.2             11744.25            8600.352            11744.25           -468.0547 
 532.72             11890.3             11824.74            8599.927            11824.74            65.55762 
 532.67             11886.9             11898.51            8599.404            11898.51           -11.61133 
 532.62             12044.7             11965.06            8598.882            11965.06            79.63574 
 532.57             11967               12023.72            8598.334            12023.72           -56.71875 
 532.52             12034.3             12073.9             8597.799            12073.9            -39.60254 
 532.47             11908.2             12115.1             8597.253            12115.1            -206.8955 
 532.42             11919.6             12146.77            8596.728            12146.77           -227.167 
 532.37             11989.5             12168.58            8596.199            12168.58           -179.083 
 532.32             11908.1             12180.28            8595.66             12180.28           -272.1777 
 532.27             12226.2             12181.73            8595.134            12181.73            44.4707 
 532.22             12126.9             12172.84            8594.558            12172.84           -45.93652 
 532.17             11987.1             12153.78            8593.996            12153.78           -166.6836 
 532.12             12309.2             12124.79            8593.457            12124.79            184.4131 
 532.07             12300.1             12086.1             8592.867            12086.1             213.998 
 532.02             12199               12038.21            8592.278            12038.21            160.7949 
 531.97             12208               11981.55            8591.705            11981.55            226.4492 
 531.92             12023.4             11916.84            8591.131            11916.84            106.5566 
 531.87             12222.8             11844.69            8590.586            11844.69            378.1064 
 531.82             12073.7             11765.72            8590.009            11765.72            307.9785 
 531.77             11725.3             11680.7             8589.455            11680.7             44.60449 
 531.72             11764.3             11590.26            8588.957            11590.26            174.0381 
 531.67             11704.7             11495.31            8588.452            11495.31            209.3926 
 531.62             11976.4             11396.47            8587.957            11396.47            579.9307 
 531.57             11631.7             11294.41            8587.419            11294.41            337.292 
 531.52             11259.2             11189.91            8586.936            11189.91            69.28613 
 531.47             10999.6             11083.53            8586.512            11083.53           -83.93066 
 531.42             10654.6             10976.14            8586.128            10976.14           -321.5371 
 531.37             11012.5             10868.22            8585.799            10868.22            144.2754 
 531.32             10600.4             10760.26            8585.414            10760.26           -159.8584 
 531.27             10373.9             10652.89            8585.094            10652.89           -278.9922 
 531.22             10435.8             10546.47            8584.81             10546.47           -110.667 
 531.17             10202.8             10441.65            8584.516            10441.65           -238.8506 
 531.12             10106.5             10338.77            8584.259            10338.77           -232.2744 
 531.07             10127.7             10238.19            8584.017            10238.19           -110.4912 
 531.02             10279.5             10140.22            8583.771            10140.22            139.2842 
 530.97             10169.4             10045               8583.502            10045               124.3965 
 530.92             10272.7             9953.078            8583.25             9953.078            319.6221 
 530.87             9881.25             9864.496            8582.981            9864.496            16.75391 
 530.82             9539.05             9779.508            8582.775            9779.508           -240.458 
 530.77             9493.21             9698.237            8582.623            9698.237           -205.0273 
 530.72             9271.58             9620.644            8582.479            9620.644           -349.0635 
 530.67             9731.42             9547.004            8582.369            9547.004            184.416 
 530.62             9499.56             9477.146            8582.187            9477.146            22.41309 
 530.57             9690.83             9411.18             8582.041            9411.18             279.6504 
