B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              Peak 5              Peak 6              difference
 36.62              371.609             368.6838            361.5772            361.596             361.6285            361.6212            361.6613            361.7071            368.3555            2.925232 
 36.57              368.571             368.7097            361.5527            361.5716            361.6042            361.597             361.6373            361.6833            368.38             -.1387024 
 36.52              368.143             368.7434            361.5356            361.5545            361.5872            361.58              361.6205            361.6668            368.4124           -.6004333 
 36.47              366.423             368.7789            361.5195            361.5385            361.5714            361.5641            361.6048            361.6514            368.4464           -2.355865 
 36.42              375.806             368.819             361.5076            361.5266            361.5596            361.5523            361.5932            361.6401            368.4851            6.987 
 36.37              381.417             368.8368            361.4727            361.4918            361.5249            361.5176            361.5587            361.6059            368.5015            12.5802 
 36.32              342.209             368.8415            361.4241            361.4433            361.4765            361.4692            361.5105            361.558             368.5047           -26.63251 
 36.27              321.533             368.9422            361.4709            361.4902            361.5235            361.5162            361.5577            361.6054            368.604            -47.40924 
 36.22              357.635             369.0941            361.5683            361.5876            361.621             361.6137            361.6555            361.7034            368.7544           -11.45911 
 36.17              352.401             369.1589            361.5779            361.5973            361.6308            361.6235            361.6654            361.7137            368.8177           -16.75787 
 36.12              334.266             369.2371            361.6003            361.6197            361.6533            361.6461            361.6882            361.7368            368.8945           -34.9711 
 36.07              367.995             369.3602            361.6669            361.6864            361.7201            361.7129            361.7552            361.8041            369.0161           -1.365234 
 36.02              385.882             369.402             361.6515            361.671             361.7049            361.6976            361.7401            361.7893            369.0564            16.48001 
 35.97              359.616             369.4008            361.5924            361.612             361.646             361.6387            361.6815            361.731             369.0537           -9.784851 
 35.92              395.51              369.4643            361.5972            361.6169            361.651             361.6437            361.6867            361.7365            369.1157            26.04568 
 35.87              376.11              369.441             361.5146            361.5343            361.5685            361.5612            361.6044            361.6545            369.0908            6.668976 
 35.82              362.957             369.4655            361.479             361.4987            361.5331            361.5258            361.5692            361.6196            369.1138           -6.508545 
 35.77              380.56              369.5229            361.4754            361.4952            361.5297            361.5225            361.5661            361.6168            369.1696            11.03708 
 35.72              329.076             369.5381            361.4289            361.4488            361.4834            361.4761            361.52              361.571             369.1832           -40.46207 
 35.67              336.467             369.6794            361.5077            361.5277            361.5624            361.5551            361.5992            361.6505            369.323            -33.2124 
 35.62              363.253             369.8038            361.5688            361.5888            361.6236            361.6164            361.6607            361.7123            369.4458           -6.550812 
 35.57              338.683             369.8639            361.5647            361.5848            361.6197            361.6125            361.657             361.709             369.5043           -31.18088 
 35.52              329.1               369.9848            361.6204            361.6406            361.6757            361.6684            361.7132            361.7655            369.6235           -40.88477 
 35.47              359.628             370.13              361.6997            361.7199            361.7551            361.7479            361.7928            361.8455            369.7672           -10.50198 
 35.42              326.727             370.2019            361.7047            361.725             361.7604            361.7531            361.7983            361.8513            369.8375           -43.47495 
 35.37              342.693             370.355             361.79              361.8103            361.8458            361.8385            361.884             361.9373            369.989            -27.66202 
 35.32              331.501             370.4705            361.8365            361.857             361.8926            361.8853            361.931             361.9846            370.1027           -38.96945 
 35.27              356.747             370.6142            361.9105            361.931             361.9667            361.9594            362.0053            362.0593            370.2448           -13.86722 
 35.22              333.826             370.6978            361.9231            361.9436            361.9795            361.9722            362.0184            362.0727            370.3267           -36.87177 
 35.17              352.201             370.8381            361.9915            362.0121            362.0481            362.0409            362.0873            362.1419            370.4654           -18.63715 
 35.12              371.313             370.9351            362.0154            362.0361            362.0722            362.0649            362.1116            362.1666            370.5606            .3779297 
 35.07              383.441             370.9866            361.9927            362.0135            362.0497            362.0425            362.0894            362.1447            370.6105            12.45441 
 35.02              309.424             371.0097            361.9405            361.9613            361.9977            361.9904            362.0375            362.0933            370.6319           -61.58572 
 34.97              331.273             371.2144            362.0685            362.0894            362.1259            362.1187            362.166             362.2221            370.8347           -39.94135 
 34.92              324.31              371.3673            362.1435            362.1645            362.2011            362.1939            362.2415            362.2979            370.9859           -47.05728 
 34.87              322.713             371.5385            362.2357            362.2567            362.2935            362.2863            362.3342            362.391             371.1555           -48.82553 
 34.82              389.284             371.7153            362.332             362.3531            362.39              362.3828            362.4309            362.4881            371.3305            17.56866 
 34.77              368.159             371.7315            362.2664            362.2875            362.3246            362.3174            362.3657            362.4232            371.3449           -3.57254 
 34.72              369.548             371.8004            362.252             362.2732            362.3104            362.3032            362.3518            362.4097            371.412            -2.252441 
 34.67              385.138             371.8675            362.2342            362.2555            362.2928            362.2856            362.3345            362.3928            371.4772            13.27054 
 34.62              338.199             371.898             362.1784            362.1998            362.2372            362.23              362.2792            362.3379            371.5059           -33.69897 
 34.57              353.794             372.0443            362.2368            362.2583            362.2959            362.2887            362.3381            362.3972            371.6504           -18.25027 
 34.52              351.333             372.1544            362.2574            362.2789            362.3167            362.3095            362.3592            362.4186            371.7586           -20.82138 
 34.47              379.156             372.2722            362.2841            362.3057            362.3435            362.3363            362.3863            362.4461            371.8746            6.883759 
 34.42              373.145             372.3241            362.2429            362.2646            362.3026            362.2954            362.3456            362.4059            371.9246            .8208618 
 34.37              369.536             372.3924            362.2164            362.2381            362.2763            362.2691            362.3196            362.3802            371.991            -2.856415 
 34.32              401.457             372.4713            362.1985            362.2203            362.2586            362.2514            362.3022            362.3633            372.068             28.98569 
 34.27              356.363             372.4744            362.1028            362.1247            362.1632            362.156             362.207             362.2685            372.0692           -16.11136 
 34.22              367.883             372.5891            362.1168            362.1388            362.1774            362.1702            362.2215            362.2834            372.182            -4.706116 
 34.17              319.928             372.678             362.1028            362.1248            362.1635            362.1564            362.208             362.2703            372.2689           -52.74997 
 34.12              362.425             372.8859            362.2056            362.2277            362.2666            362.2594            362.3113            362.374             372.4749           -10.46094 
 34.07              372.557             372.9928            362.205             362.2272            362.2662            362.2591            362.3113            362.3744            372.5798           -.4358215 
 34.02              354.77              373.0775            362.1798            362.2021            362.2413            362.2341            362.2866            362.3501            372.6625           -18.30753 
 33.97              375.01              373.2079            362.1979            362.2202            362.2596            362.2524            362.3052            362.3691            372.7909            1.802094 
 33.92              359                 373.2916            362.1667            362.1891            362.2285            362.2214            362.2744            362.3389            372.8726           -14.2916 
 33.87              319.408             373.417             362.1744            362.1969            362.2365            362.2294            362.2827            362.3475            372.9959           -54.009 
 33.82              322.973             373.6417            362.2786            362.3011            362.3409            362.3338            362.3875            362.4527            373.2186           -50.66867 
 33.77              331.705             373.8609            362.3744            362.397             362.437             362.4298            362.4838            362.5495            373.4357           -42.15591 
 33.72              343.521             374.0621            362.4492            362.4719            362.5119            362.5049            362.5591            362.6253            373.6349           -30.54108 
